,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
10515,78245,2019-02-28,194204.5594249399,12.17666731255006,2018-11-30,3,0.016379412490811873
10522,20109,2019-02-28,295431.3010032528,12.596191604885174,2019-09-30,-7,-0.02233584099772301
10536,68138,2019-02-28,179816.4845000787,12.099692079242434,2020-02-29,-12,-0.07323091520201253
10547,50061,2019-03-31,404270.0412742796,12.909838352646549,2018-11-30,4,0.01577344745018472
10552,35810,2019-03-31,100217.1829313541,11.515094939271659,2021-03-31,-24,-0.3307929832476546
10570,78245,2019-03-31,194948.68336951177,12.180491640705002,2018-11-30,4,0.020203740645753143
10572,97124,2019-03-31,407703.7887175258,12.918296181669552,2021-03-31,-24,-0.14242159421448974
10578,20109,2019-03-31,297282.36007156695,12.60243767346054,2019-09-30,-6,-0.01608977242235632
10591,68138,2019-03-31,180949.06945754855,12.10597088643956,2020-02-29,-11,-0.06695210800488738
10602,50061,2019-04-30,406436.3733108388,12.915182672498396,2018-11-30,5,0.021117767302031965
10607,35810,2019-04-30,100896.82512157584,11.521853740252752,2021-03-31,-23,-0.324034182266562
10625,78245,2019-04-30,195574.6608597842,12.18369748248446,2018-11-30,5,0.023409582425211184
10627,97124,2019-04-30,408648.2292757763,12.92060998982777,2021-03-31,-23,-0.14010778605627117
10632,20109,2019-04-30,299339.1269592414,12.609332413526609,2019-09-30,-5,-0.00919503235628838
10646,68138,2019-04-30,182252.1412715577,12.113146398891365,2020-02-29,-10,-0.05977659555308179
10657,50061,2019-05-31,408665.5536015099,12.92065238315601,2018-11-30,6,0.026587477959646222
10662,35810,2019-05-31,102081.9071209695,11.533530781015477,2021-03-31,-22,-0.31235714150383664
10680,78245,2019-05-31,196178.40233473628,12.186779740210827,2018-11-30,6,0.026491840151578572
10681,85338,2019-05-31,281013.750850884,12.546158882530984,2021-05-31,-24,-0.27754198110571693
10682,97124,2019-05-31,408684.9500333325,12.920699844879566,2021-03-31,-22,-0.14001793100447557
10687,20109,2019-05-31,300483.19554759265,12.613147109755099,2019-09-30,-4,-0.005380336127798202
10701,68138,2019-05-31,183606.3359830404,12.12054926628463,2020-02-29,-9,-0.052373728159816224
10712,50061,2019-06-30,410496.0670524431,12.925121626957695,2018-11-30,7,0.03105672176133112
10717,35810,2019-06-30,103243.88769273394,11.544849309969093,2021-03-31,-21,-0.30103861255022046
10719,20136,2019-06-30,474277.5717357365,13.069548023662923,2021-06-30,-24,-0.20304123189256806
10735,78245,2019-06-30,196804.55965497295,12.189966432310415,2018-11-30,7,0.029678532251166345
10736,85338,2019-06-30,282023.85761064355,12.549746947797932,2021-05-31,-23,-0.27395391583876894
10737,97124,2019-06-30,408857.836221338,12.9211227859011,2021-03-31,-21,-0.1395949899829425
10742,20109,2019-06-30,300808.9690140617,12.6142306878143,2019-09-30,-3,-0.004296758068596418
10755,18603,2019-06-30,156660.64667743558,11.961837258816677,2021-06-30,-24,-0.2163640268128475
10756,68138,2019-06-30,185138.6725651621,12.12886040469792,2020-02-29,-8,-0.044062589746527436
10767,50061,2019-07-31,412933.4325851467,12.931041678771006,2018-11-30,8,0.0369767735746418
10772,35810,2019-07-31,104814.03846899125,11.559942996754716,2021-03-31,-20,-0.28594492576459807
10774,20136,2019-07-31,474203.63787661307,13.069392124192225,2021-06-30,-23,-0.20319713136326634
10790,78245,2019-07-31,197318.1411951667,12.192572635047712,2018-11-30,8,0.032284734988463626
10791,85338,2019-07-31,282820.20211788383,12.552566646513531,2021-05-31,-22,-0.2711342171231692
10792,97124,2019-07-31,408934.100394278,12.921309298312744,2021-03-31,-20,-0.1394084775712976
10797,20109,2019-07-31,300808.57286361576,12.614229370863187,2019-09-30,-2,-0.004298075019709913
10810,18603,2019-07-31,158257.62374323528,11.971979514158733,2021-06-30,-23,-0.20622177147079235
10811,68138,2019-07-31,186407.6971607261,12.135691474161783,2020-02-29,-7,-0.03723152028266341
10822,50061,2019-08-31,414285.2697089696,12.934310072784532,2018-11-30,9,0.040245167588167874
10827,35810,2019-08-31,106053.30335934322,11.571697108582136,2021-03-31,-19,-0.27419081393717804
10829,20136,2019-08-31,474456.7905231536,13.069925829709966,2021-06-30,-22,-0.20266342584552532
10845,78245,2019-08-31,197891.6241107179,12.195474806848177,2018-11-30,9,0.035186906788927885
