TreatedZip,EventTime,RelLogValue,ControlCount
20109,-15,-0.0774032034986746,5
20109,-14,-0.06813192710809837,5
20109,-13,-0.06012404649986074,5
20109,-12,-0.053105433072811084,5
20109,-11,-0.04757428668088082,5
20109,-10,-0.04460541099299249,5
20109,-9,-0.042840562987787226,5
20109,-8,-0.04285178360692541,5
20109,-7,-0.04031665900078529,5
20109,-6,-0.03360075430931282,5
20109,-5,-0.023808319262683498,5
20109,-4,-0.014842017694270382,5
20109,-3,-0.009625470425628535,5
20109,-2,-0.006085695245833733,5
20109,-1,-0.0033892289685610423,5
20109,0,0.0,5
20109,1,0.004342702638621176,5
20109,2,0.008712598848163467,5
20109,3,0.013217006901041373,5
20109,4,0.016142233024405782,5
20109,5,0.018285723886548054,5
20109,6,0.018940117561897906,5
20109,7,0.020049302113757505,5
20109,8,0.021581050703568395,5
20109,9,0.023415743053141824,5
20109,10,0.02727096597373304,5
20109,11,0.030853565841774965,5
20109,12,0.03508342116390928,5
20109,13,0.037508939702452795,5
20109,14,0.03975210425396085,5
20109,15,0.04188366947961164,5
20109,16,0.04349769521191789,5
20109,17,0.04430106742867821,5
20109,18,0.045151015050049634,5
20109,19,0.04604637449097844,5
20109,20,0.04784090239182639,5
20109,21,0.04969261979100992,5
20109,22,0.0521227456019254,5
20136,-24,-0.07395970223781952,5
20136,-23,-0.05479513460815362,5
20136,-22,-0.03989749584235867,5
20136,-21,-0.032367406152221535,5
20136,-20,-0.03309320199133694,5
20136,-19,-0.039783126002025423,5
20136,-18,-0.04849228787554516,5
20136,-17,-0.05443689139442043,5
20136,-16,-0.05742616856434317,5
20136,-15,-0.05889380830280792,5
20136,-14,-0.06128718853611588,5
20136,-13,-0.06209343720427505,5
20136,-12,-0.0618527468993431,5
20136,-11,-0.05808913040330381,5
20136,-10,-0.05265148012437315,5
20136,-9,-0.04465914531315711,5
20136,-8,-0.03639196023966669,5
20136,-7,-0.02943765386359871,5
20136,-6,-0.02393516412627612,5
20136,-5,-0.01994488458493713,5
20136,-4,-0.016455833703151512,5
20136,-3,-0.013614357575998071,5
20136,-2,-0.01094096806625693,5
20136,-1,-0.0070448392715977805,5
20136,0,0.0,5
20136,1,0.009241075013210675,5
20136,2,0.017462611245321825,5
20136,3,0.022438016703639006,5
20136,4,0.024758457031224878,5
20136,5,0.02644665619835642,5
20136,6,0.02893734089055826,5
20136,7,0.032953971711138764,5
20136,8,0.038142917371640904,5
20136,9,0.043260007441675796,5
20136,10,0.0470242425191536,5
20136,11,0.04966011353869746,5
20136,12,0.050236836553169795,5
20136,13,0.05004694311693854,5
20136,14,0.04708531761693955,5
20136,15,0.04366310040270882,5
20136,16,0.04102554452368849,5
20136,17,0.040132546754434985,5
20136,18,0.04095498672347268,5
20136,19,0.04336325771662004,5
20136,20,0.046550169767984075,5
20136,21,0.04953054212962016,5
20136,22,0.05086335798292581,5
20136,23,0.05124586102586903,5
20136,24,0.050889661002988265,5
