TreatedZip,EventTime,RelLogValue,ControlCount
29847,-2,-0.01484510825284353,5
29847,-1,-0.010520266966166503,5
29847,0,0.0,5
29847,1,0.013327573485395306,5
29847,2,0.024196822945130946,5
29847,3,0.0330451984160149,5
29847,4,0.037572422397593286,5
29847,5,0.0370422066427782,5
29847,6,0.035546099897581486,5
29847,7,0.032221961390866485,5
29847,8,0.03376838826832085,5
29847,9,0.03466103054482765,5
29847,10,0.03528420866282041,5
29847,11,0.03141965619626212,5
29847,12,0.027569159315328662,5
29847,13,0.02806276878111689,5
29847,14,0.02957386022544455,5
29847,15,0.03250496200378876,5
29847,16,0.03202763227616323,5
29847,17,0.0338972401751171,5
29847,18,0.038088729214863545,5
29847,19,0.04552336262008403,5
29847,20,0.053271443750654866,5
29847,21,0.060918651029995274,5
29847,22,0.06870882750522042,5
29847,23,0.07777929695150938,5
29847,24,0.08508985352778638,5
30214,-24,-0.22170813646499815,5
30214,-23,-0.2063803637065039,5
30214,-22,-0.19046110871504815,5
30214,-21,-0.17363442332798015,5
30214,-20,-0.160035257819748,5
30214,-19,-0.15066401053990502,5
30214,-18,-0.14426517289962143,5
30214,-17,-0.1362045450983885,5
30214,-16,-0.12417376013069337,5
30214,-15,-0.10975100403505103,5
30214,-14,-0.09031096571317435,5
30214,-13,-0.07013041209464603,5
30214,-12,-0.04952286843007556,5
30214,-11,-0.031215664768960493,5
30214,-10,-0.015805385851712827,5
30214,-9,-0.0028781922037616424,5
30214,-8,0.003513087378141222,5
30214,-7,0.004927133406009076,5
30214,-6,0.0026884117012478726,5
30214,-5,0.0008623281139758631,5
30214,-4,-8.465597665932023e-05,5
30214,-3,-0.001170862224978464,5
30214,-2,-0.002839083274826848,5
30214,-1,-0.0031571059080281573,5
30214,0,0.0,5
30214,1,0.0054761874546969125,5
30214,2,0.011637629164739849,5
30214,3,0.016943202432515746,5
30214,4,0.022670291840494627,5
30214,5,0.029315212812812776,5
30214,6,0.03642881744042192,5
30214,7,0.04269643145375781,5
30214,8,0.04762174357786435,5
30214,9,0.051298340272288814,5
30214,10,0.05346403055704272,5
30214,11,0.05631210829698006,5
30214,12,0.06132850078745342,5
30214,13,0.06807977100603253,5
30214,14,0.07386864768569446,5
30214,15,0.07609439729224228,5
30214,16,0.07671167547638617,5
30214,17,0.07721578035102787,5
30214,18,0.07872407628250748,5
30214,19,0.07997318827167917,5
30214,20,0.08027007534491908,5
30214,21,0.0804742709581884,5
30214,22,0.0806003125543473,5
30214,23,0.08010922266970547,5
30214,24,0.07787219264136809,5
30318,-24,-0.09521625013198047,5
30318,-23,-0.08033412015228833,5
30318,-22,-0.06233188741489748,5
30318,-21,-0.04221147798357805,5
30318,-20,-0.023753787262461402,5
30318,-19,-0.007690474297050898,5
30318,-18,0.006043202257898272,5
30318,-17,0.013366631818749752,5
30318,-16,0.013965142721242784,5
30318,-15,0.008818494731778159,5
30318,-14,0.004361357037450731,5
30318,-13,0.0005376133830552021,5
30318,-12,-0.0034613383093816453,5
30318,-11,-0.00847715647081131,5
30318,-10,-0.01268409237590049,5
30318,-9,-0.014859207002123398,5
30318,-8,-0.01529805268099942,5
30318,-7,-0.014319863389407318,5
30318,-6,-0.012855911629612393,5
30318,-5,-0.011178825174155449,5
30318,-4,-0.00855225352493214,5
30318,-3,-0.005252303085729793,5
30318,-2,-0.002227931076233958,5
30318,-1,-9.523336877812483e-05,5
30318,0,0.0,5
30318,1,0.00012490808111493835,5
30318,2,0.0005774850995177161,5
30318,3,0.0033611009105111835,5
30318,4,0.0066175115475004985,5
30318,5,0.007539588294745414,5
30318,6,0.005203605368296138,5
30318,7,0.0011073374035120765,5
30318,8,-0.002042635435724094,5
30318,9,-0.004849311723478067,5
30318,10,-0.008332652839110466,5
30318,11,-0.012648756976743414,5
30318,12,-0.016320737826296748,5
30318,13,-0.019038675072027545,5
30318,14,-0.02124431660301731,5
30318,15,-0.0243279224499112,5
30318,16,-0.02783735106354044,5
30318,17,-0.03265327610964199,5
30318,18,-0.03797130644433864,5
30318,19,-0.043745097831804004,5
30318,20,-0.04870059656921342,5
30318,21,-0.052270216540091854,5
30318,22,-0.05554006953851065,5
30318,23,-0.057442894683173054,5
30318,24,-0.058522489394888313,5
30721,-24,-0.07631049933048609,5
30721,-23,-0.06704494941354681,5
30721,-22,-0.06049991550719689,5
30721,-21,-0.057635900026916785,5
30721,-20,-0.06094430428321331,5
30721,-19,-0.06679627613566233,5
30721,-18,-0.07313098799185766,5
30721,-17,-0.07821447501962275,5
30721,-16,-0.08460678853178791,5
30721,-15,-0.08899271374639958,5
30721,-14,-0.08912698568198393,5
30721,-13,-0.08299362702906557,5
30721,-12,-0.07417055502107103,5
30721,-11,-0.06533916006534853,5
30721,-10,-0.057694441541703154,5
30721,-9,-0.05049538618968761,5
30721,-8,-0.044193500800237116,5
30721,-7,-0.03818278967642534,5
30721,-6,-0.033187575920699784,5
30721,-5,-0.02899928078710836,5
30721,-4,-0.027598646711494722,5
30721,-3,-0.02613158722082467,5
30721,-2,-0.020098226315492695,5
30721,-1,-0.010758625812836087,5
30721,0,0.0,5
30721,1,0.006891042173131012,5
30721,2,0.012142066787486883,5
30721,3,0.015642110840057556,5
30721,4,0.017878385958224996,5
30721,5,0.01980836595257962,5
30721,6,0.021220025425885324,5
30721,7,0.025984560856825566,5
30721,8,0.030761618153589153,5
30721,9,0.03501165311344678,5
30721,10,0.03498969626812638,5
30721,11,0.03434852407504359,5
30721,12,0.033965143926138454,5
30721,13,0.03410976912905248,5
30721,14,0.03312889794671925,5
30721,15,0.030976143527848877,5
30721,16,0.030152310020526586,5
30721,17,0.030024666386238862,5
30721,18,0.03181034151590332,5
30721,19,0.0325770397936342,5
30721,20,0.03436788486268512,5
30721,21,0.03698432656145982,5
30721,22,0.04110555334213757,5
30721,23,0.04301531637395328,5
30721,24,0.04168429185620219,5
35810,-24,-0.31641393203879103,5
35810,-23,-0.30684098395823656,5
35810,-22,-0.29839338856878256,5
35810,-21,-0.2909005590319008,5
35810,-20,-0.28181468752103384,5
35810,-19,-0.2734597722709037,5
35810,-18,-0.26681277824096516,5
35810,-17,-0.2597115439157939,5
35810,-16,-0.2493824417789245,5
35810,-15,-0.23739005050335854,5
35810,-14,-0.22604494351499937,5
35810,-13,-0.2157299666111058,5
35810,-12,-0.20593855261859595,5
35810,-11,-0.1924800437600922,5
35810,-10,-0.17758408254589675,5
35810,-9,-0.1608654859175765,5
35810,-8,-0.146487186934241,5
35810,-7,-0.13268263806614727,5
35810,-6,-0.11628585611374546,5
35810,-5,-0.09761149238010418,5
35810,-4,-0.07808592727166967,5
35810,-3,-0.061369551017731894,5
35810,-2,-0.04380920424878561,5
35810,-1,-0.02318537736333539,5
35810,0,0.0,5
35810,1,0.02242904203377023,5
35810,2,0.043708369415559646,5
35810,3,0.06494721917604344,5
35810,4,0.08476794317434048,5
35810,5,0.09875506546402804,5
35810,6,0.1076623381920335,5
35810,7,0.1146785599982472,5
35810,8,0.1249034217004656,5
35810,9,0.13585415470510184,5
35810,10,0.14911679805987282,5
35810,11,0.164985896521792,5
35810,12,0.1830046977820686,5
35810,13,0.20032184765578515,5
35810,14,0.21183609507202128,5
35810,15,0.21965333455696195,5
35810,16,0.22209452513751415,5
35810,17,0.22269675528253713,5
35810,18,0.22070106649426116,5
35810,19,0.21614476512211808,5
35810,20,0.21034189027156244,5
35810,21,0.20575236958566984,5
35810,22,0.2080614944654428,5
35810,23,0.21450210447797033,5
35810,24,0.22251850302429155,5
36105,-24,0.00990365071267547,5
36105,-23,0.012489518246112752,5
36105,-22,0.022087692116499368,5
36105,-21,0.03140166070118191,5
36105,-20,0.03623009545939162,5
36105,-19,0.035213327053634204,5
36105,-18,0.02557021712076981,5
36105,-17,0.01274067674088748,5
36105,-16,0.0002932511470959298,5
36105,-15,-0.003299170193068335,5
36105,-14,-0.0064738657764870314,5
36105,-13,-0.010267617747920354,5
36105,-12,-0.012791912275739748,5
36105,-11,-0.008573437312742982,5
36105,-10,-0.0006647466176385563,5
36105,-9,0.008601663244564151,5
