,TreatedZip,EventTime,RelLogValue,DonorCount
195,20136,-23,-0.2041183522674796,5
196,20136,-22,-0.20247889730983815,5
197,20136,-21,-0.20038616014180946,5
198,20136,-20,-0.19834851928446326,5
199,20136,-19,-0.19570759510488359,5
200,20136,-18,-0.19268575632431678,5
201,20136,-17,-0.1881834242468436,5
202,20136,-16,-0.182667974109307,5
203,20136,-15,-0.1764228645446771,5
204,20136,-14,-0.1712861311283948,5
205,20136,-13,-0.16855166065576946,5
206,20136,-12,-0.1672192210020281,5
207,20136,-11,-0.16463129228977066,5
208,20136,-10,-0.15772307131655694,5
209,20136,-9,-0.1456570142321393,5
210,20136,-8,-0.13041425942291945,5
211,20136,-7,-0.1137455541925089,5
212,20136,-6,-0.09791578645540149,5
213,20136,-5,-0.08309357515643753,5
214,20136,-4,-0.06751215701848032,5
215,20136,-3,-0.05146036709620283,5
216,20136,-2,-0.03390919313327103,5
217,20136,-1,-0.016242214500882923,5
218,20136,0,0.0,5
219,20136,1,0.009089052188668845,5
220,20136,2,0.01083264324013733,5
221,20136,3,0.00792623788000455,5
222,20136,4,0.006766777096962784,5
223,20136,5,0.008551766848825082,5
224,20136,6,0.014083858780455571,5
225,20136,7,0.025465543993554007,5
226,20136,8,0.04191355786898541,5
227,20136,9,0.06208922562305652,5
228,20136,10,0.08097287166940212,5
229,20136,11,0.09566317470852326,5
230,20136,12,0.10390029316856939,5
231,20136,13,0.10438729147915886,5
232,20136,14,0.09922401606752765,5
233,20136,15,0.0916660021105841,5
234,20136,16,0.0864757714924167,5
235,20136,17,0.08367810463040293,5
236,20136,18,0.08238730484442591,5
237,20136,19,0.08109383977824436,5
238,20136,20,0.08149284487232719,5
239,20136,21,0.08277181885478484,5
240,20136,22,0.08618590202156647,5
241,20136,23,0.09070806880283869,5
242,20136,24,0.09690329115258152,5
243,20166,-24,-0.07012012927349928,5
244,20166,-23,-0.07566528642904906,5
245,20166,-22,-0.0786708873474808,5
246,20166,-21,-0.08077450731296025,5
247,20166,-20,-0.08457639521791549,5
248,20166,-19,-0.08701701701422274,5
249,20166,-18,-0.0866175899583446,5
250,20166,-17,-0.08153304013925364,5
251,20166,-16,-0.0741416246626894,5
252,20166,-15,-0.06598851351007973,5
253,20166,-14,-0.0593304657557745,5
254,20166,-13,-0.05444163271052389,5
255,20166,-12,-0.05113710972227885,5
256,20166,-11,-0.048787468174081285,5
257,20166,-10,-0.04700618341346683,5
258,20166,-9,-0.04484426310981924,5
259,20166,-8,-0.04268806877261895,5
260,20166,-7,-0.03817585091957909,5
261,20166,-6,-0.03013550261832094,5
262,20166,-5,-0.021023880557453366,5
263,20166,-4,-0.012943640867908357,5
264,20166,-3,-0.008743725837375394,5
265,20166,-2,-0.005396860914676083,5
266,20166,-1,-0.0029849219861308287,5
267,20166,0,0.0,5
268,20166,1,0.003582308191136718,5
269,20166,2,0.0073040282584969415,5
270,20166,3,0.011505912637628058,5
271,20166,4,0.014185698967586901,5
272,20166,5,0.015039843001988018,5
273,20166,6,0.013218062097892868,5
274,20166,7,0.010403949580838656,5
275,20166,8,0.006741057593165322,5
276,20166,9,0.0028925519236448595,5
277,20166,10,0.0005006234135116472,5
278,20166,11,-0.0004843517798146735,5
279,20166,12,0.0005140072039125698,5
280,20166,13,0.0025261996197407655,5
281,20166,14,0.005819473331227343,5
282,20166,15,0.008619524111137266,5
283,20166,16,0.010449360069649315,5
284,20166,17,0.010338350539455731,5
285,20166,18,0.010304833698346982,5
286,20166,19,0.008980944759242248,5
287,20166,20,0.008734477475579183,5
288,20166,21,0.009686372547742295,5
289,20166,22,0.013186588304553127,5
290,23150,-24,-0.2344288457499541,5
291,23150,-23,-0.22837102997238254,5
292,23150,-22,-0.22390759181776437,5
293,23150,-21,-0.21998787039562337,5
294,23150,-20,-0.21459556219566486,5
295,23150,-19,-0.20565879314447777,5
296,23150,-18,-0.1897016190894,5
297,23150,-17,-0.17117204619316304,5
298,23150,-16,-0.15199288235621963,5
299,23150,-15,-0.1350700743641628,5
300,23150,-14,-0.12005834997345488,5
301,23150,-13,-0.10622227198038167,5
302,23150,-12,-0.0940196643241464,5
303,23150,-11,-0.08157046892045336,5
304,23150,-10,-0.06764167310218631,5
305,23150,-9,-0.052408548394587126,5
306,23150,-8,-0.044823593225117975,5
307,23150,-7,-0.04786661591708992,5
308,23150,-6,-0.056935877738461114,5
309,23150,-5,-0.06336017707678146,5
310,23150,-4,-0.06158227050817296,5
311,23150,-3,-0.05713862152855498,5
312,23150,-2,-0.04118079417359546,5
313,23150,-1,-0.02223858613679326,5
314,23150,0,0.0,5
315,23150,1,0.018488320681485603,5
316,23150,2,0.03588411843982229,5
317,23150,3,0.056027819429728606,5
318,23150,4,0.07204093580744945,5
319,23150,5,0.08005509095689903,5
320,23150,6,0.07832288680659402,5
321,23150,7,0.07299862864640297,5
322,23150,8,0.0693278703547275,5
323,23150,9,0.06613847989956767,5
324,23150,10,0.06114891020289583,5
325,23150,11,0.05520848970010128,5
326,23150,12,0.05395800018897105,5
327,23150,13,0.06037993541606177,5
328,23150,14,0.07400213387777868,5
329,23150,15,0.08521484070254814,5
330,23150,16,0.0921047169489615,5
331,23150,17,0.09370279930041221,5
332,23150,18,0.09571548573236158,5
333,23150,19,0.0977908766392396,5
334,23150,20,0.09983890706665513,5
335,23150,21,0.1009843486794395,5
336,23150,22,0.0991702962053516,5
337,23150,23,0.09903195488137335,5
338,23150,24,0.10366623684595666,5
339,23836,-24,-0.12917721135953925,5
340,23836,-23,-0.12837830790735083,5
341,23836,-22,-0.12824468256223476,5
342,23836,-21,-0.12637404904479546,5
343,23836,-20,-0.12085202619213184,5
344,23836,-19,-0.10926650770523202,5
345,23836,-18,-0.09436435509468666,5
346,23836,-17,-0.07820395321550677,5
347,23836,-16,-0.06409212518034905,5
348,23836,-15,-0.05158016047155023,5
349,23836,-14,-0.04080501832648835,5
350,23836,-13,-0.03531002821844922,5
351,23836,-12,-0.0356762285196357,5
352,23836,-11,-0.040722209209442896,5
353,23836,-10,-0.04528770073415771,5
354,23836,-9,-0.04713189425733866,5
355,23836,-8,-0.04633383915523872,5
356,23836,-7,-0.043407350638780075,5
357,23836,-6,-0.040575656598031175,5
358,23836,-5,-0.03635499123809431,5
359,23836,-4,-0.03175668464223165,5
360,23836,-3,-0.025013384192257248,5
361,23836,-2,-0.016908068830776557,5
362,23836,-1,-0.007995849146226064,5
363,23836,0,0.0,5
364,23836,1,0.0067010701905221735,5
365,23836,2,0.012589288848123914,5
366,23836,3,0.01843313312662076,5
367,23836,4,0.023933748970116752,5
368,23836,5,0.027657688523192548,5
369,23836,6,0.03167143154881948,5
370,23836,7,0.038197294692290384,5
371,23836,8,0.046164227126030966,5
372,23836,9,0.053206386241895845,5
373,23836,10,0.05712721002967776,5
374,23836,11,0.05956065271498438,5
375,23836,12,0.062047825417892354,5
376,23836,13,0.0646804693372868,5
377,23836,14,0.0678532978258545,5
378,23836,15,0.07019400809858319,5
379,23836,16,0.07285703445791647,5
380,23836,17,0.07459398142051335,5
381,23836,18,0.0757419845547048,5
382,23836,19,0.07530399742519123,5
383,23836,20,0.0753592142603388,5
384,23836,21,0.0752662838201907,5
385,23836,22,0.07513296561700607,5
386,23836,23,0.0756222516444435,5
387,23836,24,0.07734744577072768,5
388,28905,-24,-0.10085525723678615,5
389,28905,-23,-0.08683838476809846,5
390,28905,-22,-0.07791907292770403,5
391,28905,-21,-0.07266856443594208,5
392,28905,-20,-0.07330176141920183,5
393,28905,-19,-0.07396886024507587,5
394,28905,-18,-0.07627576891872571,5
395,28905,-17,-0.07639701265798209,5
396,28905,-16,-0.07709167877714158,5
397,28905,-15,-0.07429791958446934,5
398,28905,-14,-0.06690802444871409,5
399,28905,-13,-0.05493705891072942,5
400,28905,-12,-0.043223180349276545,5
401,28905,-11,-0.034433305822647496,5
402,28905,-10,-0.028722700995323792,5
403,28905,-9,-0.023641253231435046,5
404,28905,-8,-0.019786599815907736,5
405,28905,-7,-0.018300914952832058,5
406,28905,-6,-0.0175751467178916,5
